[3Fe-4S]+;[4Fe-4S]2+
128.2214;92.7877
131.4411;94.4025
126.7426;96.0915
126.1946;95.4704
125.3758;94.3027
129.2191;95.2407
126.2124;93.9544
128.093;94.6565
128.9766;95.5761
126.6292;93.4215
128.616;95.0724
128.7809;93.8729
126.941;92.2903
121.4916;91.6037
125.0283;94.9662
122.8947;92.1814
125.0607;96.131
121.3657;92.6052
126.4183;91.3374
125.1785;92.1642
121.681;94.6173
119.7667;91.3927
117.0165;93.3368
119.2202;93.3175
121.0219;91.4332
122.5438;94.8134
121.5898;94.0645
117.9627;95.5231
120.8504;94.2722
123.6453;95.1439
122.2874;93.7132
124.6756;93.5891
122.2703;91.7742
122.1688;92.9029
121.8242;93.5319
125.1244;93.3997
121.5679;94.0971
127.8442;91.8713
124.9775;92.3073
122.3408;94.0486
122.968;95.3477
123.8947;93.8086
124.7755;95.523
124.4542;95.2086
124.4809;94.3511
124.798;96.38
123.3548;93.3755
121.5616;92.5377
116.44;92.7627
120.9065;93.3752
117.9877;92.4402
120.6277;93.0092
122.863;94.3046
122.41;92.9945
123.8891;94.6073
122.7879;94.477
121.1041;95.3719
121.7556;92.3925
123.9057;89.9762
123.4584;93.9596
119.373;95.5988
119.2421;94.5802
120.111;93.757
120.002;92.6538
124.4186;93.036
119.0592;93.7048
123.174;94.4542
119.653;93.2456
121.0762;95.097
123.3584;91.6493
120.0191;95.1669
122.4506;95.1229
122.7912;94.7672
124.3022;96.7791
121.023;91.8081
122.1938;94.8358
123.287;93.1111
115.8489;94.7862
118.7395;95.7021
120.2129;96.8579
121.1277;96.6616
125.8558;96.2764
120.3355;97.9426
122.2625;96.012
119.7362;94.3945
123.9641;93.1329
123.2293;91.8459
123.814;93.7069
122.5151;93.4066
119.0837;94.5767
119.0391;93.6667
120.861;93.1791
127.0596;92.5169
126.3661;93.2785
128.813;92.7642
126.8256;92.4069
120.0131;91.3183
121.7737;92.2818
120.0367;93.1032
118.5994;94.1017
120.2741;97.8895
119.6146;94.4295
116.7434;95.5011
114.9159;94.8775
123.6493;95.6986
119.7341;93.1815
119.3078;92.4587
118.3756;93.8305
116.9226;93.1226
121.4312;94.7075
119.6529;94.7282
121.8444;96.5559
120.9665;94.8468
120.1514;95.4313
125.7118;91.534
117.158;91.3471
120.1448;91.7085
121.6208;94.1919
119.8102;91.7437
119.9648;95.2533
121.5978;92.8412
121.302;93.0818
122.1192;91.5787
116.6933;94.4586
118.1837;93.44
121.3728;95.3267
119.4357;93.8199
121.3998;91.2604
122.4971;93.0149
125.8678;93.2122
126.9118;92.3228
127.199;95.1054
125.1136;94.1774
122.9997;92.66
124.6708;93.8465
123.7025;92.8577
131.5639;93.4062
118.5945;96.1553
123.7846;92.1032
120.9416;94.4902
120.3198;97.1917
125.9642;95.2355
125.0176;92.7447
126.2079;91.7741
124.312;94.2818
125.6569;92.9578
123.2953;92.7107
125.2435;93.8658
123.6124;94.1272
125.4739;92.6741
132.0679;91.8344
126.1821;95.4029
123.5863;94.7411
121.1554;95.3035
120.4808;95.665
127.3874;94.9376
123.7017;96.3936
125.4562;96.746
127.7954;93.916
127.2838;94.3192
129.9688;94.5983
125.1455;94.5364
126.0826;94.6165
126.1529;95.9105
130.0211;93.8027
127.2769;94.5759
124.2879;95.468
122.9903;92.8901
127.9619;92.6135
124.9697;95.289
128.0047;95.6501
125.3032;94.7394
128.938;94.8224
129.0109;96.9465
122.8354;93.0909
127.0914;94.2456
123.9014;93.8903
128.1437;94.7455
125.9392;94.7953
125.6799;94.5544
127.1991;95.266
123.7868;94.1877
125.5346;93.7385
119.5119;94.6136
128.1428;95.1254
128.1109;96.4664
124.6223;93.7101
